ref	text	parallel	translation
Lk.3.2	at auhmistam gudjam Annin jah Kajafin warþ waurd gudis at Iohannen Zaxariins sunau in auþidai		
Lk.3.3	jah qam and allans gaujans Iaurdanaus merjands daupein idreigos du fraleta frawaurhte		
Lk.3.4	swaswe gamelid ist in bokom waurde Esaeiins praufetaus qiþandins stibna wopjandins in auþidai manweid wig fraujins raihtos waurkeiþ staigos is		
Lk.3.5	all dalei usfulljada jah all fairgunje jah hlaine gahnaiwjada jah wairþiþ þata wraiqo du raihtamma jah usdrusteis du wigam slaihtaim		
Lk.3.6	jah gasaiƕiþ all leike nasein gudis		
Lk.3.7	qaþ þan du þaim atgaggandeim manageim daupjan fram sis kuni nadre ƕas gataiknida izwis þliuhan faura þamma anawairþin hatiza		
Lk.3.8	waurkjaiþ nu akran wairþata idreigos jah ni duginnaiþ qiþan in izwis attan aigum Abraham qiþa auk izwis þatei mag guþ us stainam þaim urraisjan barna Abrahama		
Lk.3.9	aþþan ju so aqizi at waurtim bagme ligiþ all nu bagme unbairandane akran god usmaitada jah in fon galagjada		
Lk.3.10	jah frehun ina manageins qiþandans an ƕa taujaima		
Lk.3.11	andhafjands þan qaþ du im sa habands twos paidos gibai þamma unhabandin jah saei habai matins samaleiko taujai		
Lk.3.12	qemun þan jah motarjos daupjan jah qeþun du imma laisari ƕa taujaima		
Lk.3.13	þaruh qaþ du im ni waiht ufar þatei garaid sijai izwis lausjaiþ		
Lk.3.14	frehun þan ina jah þai militondans qiþandans jah weis ƕa taujaima jah qaþ du im ni mannanhun holoþ ni mannanhun anamahtjaid jah waldaiþ annom izwaraim		
Lk.3.15	at wenjandein þan allai managein jah þagkjandam allaim in hairtam seinaim bi Iohannein niu aufto sa wesi Xristus		
Lk.3.16	andhof þan Iohannes allaim qiþands ik allis izwis watin daupja iþ gaggiþ swinþoza mis þizei ik ni im wairþs andbindan skaudaraip skohis is sah izwis daupeiþ in ahmin weihamma jah funin		
Lk.3.17	habands winþiskauron in handau seinai jah gahraineiþ gaþrask sein jah briggiþ kaurn in bansta seinamma iþ ahana intandeiþ funin unƕapnandin		
Lk.3.18	managuþ~þan jah anþar þrafstjands þiuþspilloda managein		
Lk.3.19	iþ Herodes sa taitrarkes gasakans fram imma bi Herodiadein qen broþrs is jah bi alla þoei gawaurhta ubila Herodes		
Lk.3.20	anaaiauk jah þata ana alla jah galauk Iohannen in karkarai		
Lk.3.21	warþ þan biþe daupida alla managein jah at Iesu ufdaupidamma jah bidjandin usluknoda himins		
Lk.3.22	jah atiddja ahma sa weiha leikis siunai swe ahaks ana ina jah stibna us himina warþ qiþandei þu is sunus meins sa liuba in þuzei waila galeikaida		
Lk.3.23	jah silba was Iesus swe jere þrije tigiwe uf gakunþai swaei sunus munds was Iosefis sunaus Heleis		
Lk.3.24	sunaus Matþatis sunaus Laiwweis sunaus Mailkeis sunaus Jannins sunaus Iosefis		
Lk.3.25	sunaus Mattaþiwis sunaus Ammons sunaus Naumis sunaus Aizleimis sunaus Naggais		
Lk.3.26	sunaus Mahaþis sunaus Mattaþiaus sunaus Saimaieinis sunaus Iosefis sunaus Iodins		
Lk.3.27	sunaus Iohannins sunaus Resins sunaus Zauraubabilis sunaus Salaþielis sunaus Nerins		
Lk.3.28	sunaus Mailkeins sunaus Addeins sunaus Kosamis sunaus Airmodamis sunaus Heris		
Lk.3.29	sunaus Iosezis sunaus Aileiaizairis sunaus Ioreimis sunaus Mattaþanis sunaus Laiwweis		
Lk.3.30	sunaus Swmaions sunaus Iudins sunaus Iosefis sunaus Iohannins sunaus Aileiakeimis		
Lk.3.31	sunaus Mailaianis sunaus Maeinanis sunaus Mattaþanis sunaus Naþanis sunaus Daweidis		
Lk.3.32	sunaus Iaissaizis sunaus Obeidis sunaus Bauauzis sunaus Salmonis sunaus Nahassonis		
Lk.3.33	sunaus Ameinadabis sunaus Aramis sunaus Aizoris sunaus Faraizis sunaus Iudins		
Lk.3.34	sunaus Iakobis sunaus Isakis sunaus Abrahamis sunaus Þarins sunaus Nakoris		
Lk.3.35	sunaus Sairokis sunaus Ragawis sunaus Falaigis sunaus Aibairis sunaus Salamis		
Lk.3.36	sunaus Kaeinanis sunaus Arfaksadis sunaus Semis sunaus Nauelis sunaus Lamaikis		
Lk.3.37	sunaus Maþusalis sunaus Ainokis sunaus Iaredis sunaus Malailaielis sunaus Kaeinanis		
Lk.3.38	sunaus Ainosis sunaus Sedis sunaus Adamis sunaus gudis		
Lk.4.1	iþ Iesus ahmins weihis fulls gawandida sik fram Iaurdanau jah tauhans was in ahmin in auþidai		
Lk.4.2	dage fidwor tiguns fraisans fram diabulau jah ni matida waiht in dagam jainaim jah at ustauhanaim þaim dagam biþe gredags warþ		
Lk.4.3	jah qaþ du imma diabulus jabai sunaus sijais gudis qiþ þamma staina ei wairþai hlaibs		
Lk.4.4	jah andhof Iesus wiþra ina qiþands gamelid ist þatei ni bi hlaib ainana libaid manna ak bi all waurde gudis		
Lk.4.5	jah ustiuhands ina diabulaus ana fairguni hauhata ataugida imma allans þiudinassuns þis midjungardis in stika melis		
Lk.4.6	jah qaþ du imma sa diabulus þus giba þata waldufni þize allata jah wulþu ize unte mis atgiban ist jah þisƕammeh þei wiljau giba þata		
Lk.4.7	þu nu jabai inweitis mik in andwairþja meinamma wairþiþ þein all		
Lk.4.8	jah andhafjands imma Iesus qaþ gamelid ist fraujan guþ þeinana inweitais jah imma ainamma fullafahjais		
Lk.4.9	þaþroh gatauh ina in Iairusalem jah gasatida ina ana giblin alhs jah qaþ du imma jabai sunus sijais gudis wairp þuk þaþro dalaþ		
Lk.4.10	gamelid ist auk þatei aggilum seinaim anabiudiþ bi þuk du gafastan þuk		
Lk.4.11	jah þatei ana handum þuk ufhaband ei ƕan ni gastagqjais bi staina fotu þeinana		
Lk.4.12	jah andhafjands qaþ imma Iesus þatei qiþan ist ni fraisais fraujan guþ þeinana		
Lk.4.13	jah ustiuhands all fraistobnjo diabulus afstoþ fairra imma und mel		
Lk.4.14	jah gawandida sik Iesus in mahtai ahmins in Galeilaian jah meriþa urrann and all gawi bisitande bi ina		
Lk.4.15	jah is laisida in gaqumþim ize mikilids fram allaim		
Lk.4.16	jah qam in Nazaraiþ þarei was fodiþs jah galaiþ inn bi biuhtja seinamma in daga sabbato in swnagogein jah usstoþ siggwan bokos		
Lk.4.17	jah atgibanos wesun imma bokos Eisaeiins praufetus jah uslukands þos bokos bigat stad þarei was gamelid		
Lk.4.18	ahma fraujins ana mis in þizei gasalboda mik du wailamerjan unledaim insandida mik du ganasjan þans gamalwidans hairtin		
Lk.4.19	merjan frahunþanaim fralet jah blindaim siun fraletan gamaidans in gaþrafstein merjan jer fraujins andanem		
Lk.4.20	jah faifalþ þos bokos jah usgibands andbahta gasat jah allaim in þizai swnagogein wesun augona fairweitjandona du imma		
Lk.4.21	dugann þan rodjan du im þatei himma daga usfullnodedun mela þo in ausam izwaraim		
Lk.4.22	jah allai alakjo weitwodidedun imma jah sildaleikidedun bi þo waurda anstais þo usgaggandona us munþa is jah qeþun niu sa ist sunus Iosefis		
Lk.4.23	jah qaþ du im aufto qiþiþ mis þo gajukon þu leiki hailei þuk silban ƕan filu hausidedum waurþan in Kafarnaum tawei jah her in gabaurþai þeinai		
Lk.4.24	qaþ þan amen izwis qiþa þatei ni ainshun praufete andanems ist in gabaurþai seinai		
Lk.4.25	aþþan bi sunjai qiþa izwis þatei managos widuwons wesun in dagam Heleiins in Israela þan galuknoda himins du jeram þrim jah menoþs saihs swe warþ huhrus mikils and alla airþa		
Lk.4.26	jah ni du ainaihun þizo insandiþs was Helias alja in Saraipta Seidonais du qinon widuwon		
Lk.4.27	jah managai þrutsfillai wesun uf Haileisaiu praufetau in Israela jah ni ainshun ize gahrainids was alja Naiman sa Saur		
Lk.4.28	jah fullai waurþun allai modis in þizai swnagogein hausjandans þata		
Lk.4.29	jah usstandans uskusun imma ut us baurg jah brahtedun ina und auhmisto þis fairgunjis ana þammei so baurgs ize gatimrida was du afdrausjan ina þaþro		
Lk.4.30	iþ is þairhleiþands þairh midjans ins iddja		
Lk.4.31	jah galaiþ in Kafarnaum baurg Galeilaias jah was laisjands ins in sabbatim		
Lk.4.32	jah sildaleikidedun bi þo laisein is unte in waldufnja was waurd is		
Lk.4.33	jah in þizai swnagogein was manna habands ahman unhulþons unhrainjana jah ufhropida		
Lk.4.34	qiþands let ƕa uns jah þus Iesu Nazorenu qamt fraqistjan unsis kann þuk ƕas is sa weiha gudis		
Lk.4.35	jah gaƕotida imma Iesus qiþands afdobn jah usgagg us þamma jah gawairpands ina sa unhulþa in midjaim urrann af imma ni waihtai gaskaþjands imma		
Lk.4.36	jah warþ afslauþnan ana allans jah rodidedun du sis misso qiþandans ƕa waurde þata þatei miþ waldufnja jah mahtai anabiudiþ þaim unhrainjam ahmam jah usgaggand		
Lk.4.37	jah usiddja meriþa fram imma and allans stadins þis bisunjane landis		
Lk.4.38	usstandands þan us þizai swnagogai galaiþ in gard Seimonis swaihro þan þis Seimonis was anahabaida brinnon mikilai jah bedun ina bi þo		
Lk.4.39	jah atstandands ufar ija gasok þizai brinnon jah aflailot ija sunsaiw þan usstandandei andbahtida im		
Lk.4.40	miþþanei þan sagq sunno allai swa managai swe habaidedun siukans sauhtim missaleikaim brahtedun ins at imma iþ is ainƕarjammeh ize handuns analagjands gahailida ins		
Lk.4.41	usiddjedun þan jah unhulþons af managaim hropjandeins jah qiþandeins þatei þu is Xristus sunus gudis jah gasakands im ni lailot þos rodjan unte wissedun silban Xristu ina wisan		
Lk.4.42	biþeh þan warþ dags usgaggands galaiþ ana auþjana stad jah manageins sokidedun ina jah qemun und ina jah gahabaidedun ina ei ni afliþi fairra im		
Lk.4.43	þaruh is qaþ du im þatei jah þaim anþaraim baurgim wailamerjan ik skal bi þiudangardja gudis unte duþe mik insandida		
Lk.4.44	jah was merjands in swnagogim Galeilaias		
Lk.5.1	jah warþ miþþanei managei anatramp ina du hausjan waurd gudis jah is silba was standands neƕa saiwa Gainnesaraiþ		
Lk.5.2	jah gasaƕ twa skipa standandona at þamma saiwa iþ fiskjans afgaggandans af im usþwohun natja		
Lk.5.3	galaiþ þan in ain þize skipe þatei was Seimonis haihait ina aftiuhan fairra staþa leitil jah gasitands laisida us þamma skipa manageins		
Lk.5.4	biþeh þan gaandida rodjands qaþ du Seimonau brigg ana diupiþa jah athahid þo natja izwara du fiskon		
Lk.5.5	jah andhafjands Seimon qaþ du imma talzjand alla naht þairharbaidjandans waiht ni nemum iþ afar waurda þeinamma wairpam natja		
Lk.5.6	jah þata taujandans galukun manageins fiske filu swe natja dishnupnodedun ize		
Lk.5.7	jah bandwidedun gamanam þoei wesun in anþaramma skipa ei atiddjedeina hilpan ize jah qemun jah gafullidedun ba þo skipa swe sugqun		
Lk.5.8	gaumjands þan Seimon Paitrus draus du kniwam Iesuis qiþands bidja þuk usgagg fairra mis unte manna frawaurhts im frauja		
Lk.5.9	sildaleik auk dishabaida ina jah allans þans miþ imma in gafahis þize fiske þanzei ganutun		
Lk.5.10	samaleikoh þan jah Iakobau jah Iohannen sununs Zaibaidaiaus þaiei wesun gadailans Seimona jah qaþ du Seimona Iesus ni ogs þus fram himma nu manne siud nutans		
Lk.5.11	jah gatiuhandans þo skipa ana airþa afleitandans allata laistidedun afar imma		
Lk.5.12	jah warþ miþþanei was is in ainai baurge jah sai manna fulls þrutsfillis jah gasaiƕands Iesu driusands ana andwairþi bad ina qiþands frauja jabai wileis magt mik gahrainjan		
Lk.5.13	jah ufrakjands handu attaitok imma qiþands wiljau wairþ hrains jah suns þata þrutsfill aflaiþ af imma		
Lk.5.14	jah is faurbaud imma ei mann ni qeþi ak gagg jah ataugei þuk silban gudjin jah atbair imma fram þizai gahraineinai þeinai þatei anabaud Moses du weitwodiþai im		
Lk.5.15	usmernoda þan þata waurd mais bi ina jah garunnun hiuhmans managai hausjon jah leikinon fram imma sauhte seinaizo		
Lk.5.16	iþ is was afleiþands ana auþidos jah bidjands		
Lk.5.17	jah warþ in ainamma dage jah is was laisjands jah wesun sitandans Fareisaieis jah witodalaisarjos þaiei wesun gaqumanai us allamma haimo Galeilaias jah Iudaias jah Iairusaulwmon jah mahts fraujins was du hailjan ins		
Lk.5.18	jah sai mans bairandans ana ligra mannan saei was usliþa jah sokidedun ƕaiwa ina innatbereina jah galagidideina in andwairþja is		
Lk.5.19	jah ni bigitandans ƕaiwa innatbereina ina in manageins ussteigandans ana hrot and skaljos gasatidedun ina miþ þamma badja in midjaim faura Iesua		
Lk.5.20	jah gasaiƕands galaubein ize qaþ du þamma usliþin manna afleitanda þus frawaurhteis þeinos		
Lk.5.21	jah dugunnun þagkjan þai bokarjos jah Fareisaieis qiþandans ƕas ist sa saei rodeiþ naiteinins ƕas mag afletan frawaurhtins alja ains guþ		
Lk.5.22	ufkunnands þan Iesus mitonins ize andhafjands qaþ du im ƕa biþagkeiþ in hairtam izwaraim		
Lk.5.23	ƕaþar ist azetizo qiþan afletanda þus frawaurhteis þau qiþan urreis jah gagg		
Lk.5.24	aþþan ei witeid þatei waldufni habaid sa sunus mans ana airþai afletan frawaurhtins qaþ du þamma usliþin du þus qiþa urreis jah ushafjands þata badi þeinata gagg in gard þeinana		
Lk.5.25	jah sunsaiw usstandands in andwairþja ize ushafjands ana þammei lag galaiþ in gard seinana mikiljands guþ		
Lk.5.26	jah usfilmei dissat allans jah mikilidedun guþ jah fullai waurþun agisis qiþandans þatei gasaiƕam wulþaga himma daga		
Lk.5.27	jah afar þata usiddja jah gasaƕ motari namin Laiwwi sitandan ana motastada jah qaþ du imma laistei afar mis		
Lk.5.28	jah bileiþands allaim usstandands iddja afar imma		
Lk.5.29	jah gawaurhta dauht mikila Laiwweis imma in garda seinamma jah was managei motarje mikila jah anþaraize þaiei wesun miþ im anakumbjandans		
Lk.5.30	jah birodidedun bokarjos ize jah Fareisaieis du siponjam is qiþandans duƕe miþ þaim motarjam jah frawaurhtaim matjid jah drigkid		
Lk.5.31	jah andhafjands Iesus qaþ du im ni þaurbun hailai leikeis ak þai unhailans		
Lk.5.32	ni qam laþon garaihtans ak frawaurhtans in idreiga		
Lk.5.33	iþ eis qeþun du imma duƕe siponjos Iohannes fastand ufta jah bidos taujand samaleiko jah Fareisaiei iþ þai þeinai siponjos matjand jah drigkand		
Lk.5.34	þaruh is qaþ du im ni magud sununs bruþfadis unte sa bruþfads miþ im ist gataujan fastan		
Lk.5.35	aþþan qimand dagos jah þan afnimada af im sa bruþfads jah þan fastand in jainaim dagam		
Lk.5.36	qaþuh þan jah gajukon du im þatei ainshun plat snagins niujis ni lagjid ana snagan fairnjana aiþþau jah sa niuja aftaurnid jah þamma fairnjin ni gatimid þata af þamma niujin		
Lk.5.37	jah ainshun ni giutid wein niujata in balgins fairnjans aiþþau distairid þata niujo wein þans balgins jah silbo usgutniþ jah þai balgeis fraqistnand		
Lk.5.38	ak wein juggata in balgins niujans giutand jah bajoþs gafastanda		
Lk.5.39	jah ainshun drigkandane fairni ni suns wili jugg qiþiþ auk þata fairnjo batizo ist		
Lk.6.1	jah warþ in sabbato anþaramma frumin gaggan imma þairh atisk jah raupidedun ahsa siponjos is jah matidedun bnauandans handum		
Lk.6.2	iþ sumai Fareisaie qeþun du im ƕa taujid þatei ni skuld ist taujan in sabbato dagam		
Lk.6.3	jah andhafjands wiþra ins Iesus qaþ ni þata ussuggwud þatei gatawida Daweid þan gredags was silba jah þaiei miþ imma wesun		
Lk.6.4	ƕaiwa inngalaiþ in gard gudis jah hlaibans faurlageinais usnam jah matida jah gaf þaim miþ sis wisandam þanzei ni skuld ist matjan nibai ainaim gudjam		
Lk.6.5	jah qaþ du im þatei frauja ist sa sunus mans jah þamma sabbato daga		
Lk.6.6	jah warþ þan in anþaramma daga sabbato galeiþan imma in swnagogein jah laisjan jah was jainar manna jah handus is so taihswo was þaursus		
Lk.6.7	witaidedunuh þan þai bokarjos jah Fareisaieis jau in sabbato daga leikinodedi ei bigeteina til du wrohjan ina		
Lk.6.8	iþ is wissuh mitonins ize jah qaþ du þamma mann þamma þaursja habandin handu urreis jah stand in midjaim þaruh is urreisands gastoþ		
Lk.6.9	qaþ þan Iesus du im fraihna izwis ƕa skuld ist sabbato dagam þiuþ taujan þau unþiuþ taujan saiwala ganasjan þau usqistjan		
Lk.6.10	jah ussaiƕands allans ins qaþ du imma ufrakei þo handu þeina þaruh is ufrakida jah gastoþ so handus is swaswe so anþara		
Lk.6.11	iþ eis fullai waurþun unfrodeins jah rodidedun du sis misso ƕa tawidideina þamma Iesua		
Lk.6.12	jah warþ in dagam þaim ei usiddja Iesus in fairguni bidjan jah was naht þairwakands in bidai gudis		
Lk.6.13	jah biþe warþ dags atwopida siponjans seinans jah gawaljands us im twalib þanzei jah apaustuluns namnida		
Lk.6.14	Seimon þanei jah namnida Paitru jah Andraian broþar is Iakobu jah Iohannen Filippu jah Barþulomaiu		
Lk.6.15	Maþþaiu jah Þoman Iakobu þana Alfaius jah Seimon þana haitanan Zeloten		
Lk.6.16	Iudan Iakobaus jah Iudan Iskarioten saei jah warþ galewjands ina		
Lk.6.17	jah atgaggands dalaþ miþ im gastoþ ana stada ibnamma jah hiuma siponje is jah hansa mikila manageins af allamma Iudaias jah Iairusalem jah þize faur marein Twre jah Seidone jah anþaraizo baurge		
Lk.6.18	þaiei qemun hausjan imma jah hailjan sik sauhte seinaizo jah þai anahabaidans fram ahmam unhrainjaim jah gahailidai waurþun		
Lk.6.19	jah alla managei sokidedun attekan imma unte mahts af imma usiddja jah ganasida allans		
Lk.6.20	jah is ushafjands augona seina du siponjam seinaim qaþ audagai jus unledans ahmin unte izwara ist þiudangardi himine		
Lk.6.21	audagai jus gredagans nu unte sadai wairþiþ audagai jus gretandans nu unte ufhlohjanda		
Lk.6.22	audagai sijuþ þan fijand izwis mans jah afskaidand izwis jah idweitjand jah uswairpand namin izwaramma swe ubilamma in sunaus mans		
Lk.6.23	faginod in jainamma daga jah laikid unte sai mizdo izwara managa in himinam bi þamma auk tawidedun praufetum attans ize		
Lk.6.24	aþþan wai izwis þaim gabeigam unte ju habaid gaþlaiht izwara		
Lk.6.25	wai izwis jus sadans nu unte gredagai wairþiþ wai izwis jus hlahjandans nu unte gaunon jah gretan duginnid		
Lk.6.26	wai þan waila izwis qiþand allai mans samaleiko allis tawidedun galiugapraufetum attans ize		
Lk.6.27	akei izwis qiþa þaim hausjandam frijod þans hatandans izwis waila taujaid þaim fijandam izwis		
Lk.6.28	þiuþjaiþ þans fraqiþandans izwis bidjaid fram þaim anamahtjandam izwis		
Lk.6.29	þamma stautandin þuk bi kinnu galewei imma jah anþara jah þamma nimandin af þus wastja jah paida ni warjais		
Lk.6.30	ƕammeh þan bidjandane þuk gif jah af þamma nimandin þein ni lausei		
Lk.6.31	jah swaswe wileid ei taujaina izwis mans jah jus taujaid im samaleiko		
Lk.6.32	aþþan jabai frijod þans frijondans izwis ƕa izwis laune ist jah auk þai frawaurhtans þans frijondans sik frijond		
Lk.6.33	jah jabai þiuþ taujaid þaim þiuþ taujandam izwis ƕa izwis laune ist jah auk þai frawaurhtans þata samo taujand		
Lk.6.34	jah jabai leiƕid fram þaimei weneid andniman ƕa izwis laune ist jah auk frauwaurhtai frawaurhtaim leiƕand ei andnimaina samalaud		
Lk.6.35	sweþauh frijod þans fijands izwarans þiuþ taujaid jah leiƕaid ni waihtais uswenans jah wairþiþ mizdo izwara managa jah wairþiþ sunjus hauhistins unte is gods ist þaim unfagram jah unseljam		
Lk.6.36	wairþaid bleiþjandans swaswe jah atta izwar bleiþs ist		
Lk.6.37	jah ni stojid ei ni stojaindau ni afdomjaid jah ni afdomjanda fraletaid jah fraletanda		
Lk.6.38	gibaid jah gibada izwis mitads goda jah ufarfulla jah gawigana jah ufargutana gibada in barm izwarana þizai auk samon mitadjon þizaiei mitid mitada izwis		
Lk.6.39	qaþuh þan gajukon im ibai mag blinds blindana tiuhan niu bai in dal gadriusand		
Lk.6.40	nist siponeis ufar laisari seinana iþ gamanwids ƕarjizuh wairþai swe laisaris is		
Lk.6.41	aþþan ƕa gaumeis gramsta in augin broþrs þeinis iþ anza in þeinamma augin ni gaumeis		
Lk.6.42	aiþþau ƕaiwa magt qiþan du broþr þeinamma broþar let ik uswairpa gramsta þamma in augin þeinamma silba in augin þeinamma anza ni gaumjands liuta uswairp faurþis þamma anza us augin þeinamma jah þan gaumjais uswairpan gramsta þamma in augin broþrs þeinis		
Lk.6.43	ni auk ist bagms gods taujands akran ubil nih þan bagms ubils taujands akran god		
Lk.6.44	ƕarjizuh raihtis bagme us swesamma akrana uskunþs ist ni auk us þaurnum lisand smakkans nih þan us aiƕatundjai trudand weinabasja		
Lk.6.45	þiuþeigs manna us þiuþeigamma huzda hairtins seinis usbairid þiuþ jah ubils manna us ubilamma hairtins seinis usbairid ubil uzuh allis ufarfullein hairtins rodeid munþs is		
Lk.6.46	aþþan ƕa mik haitid frauja frauja jah ni taujid þatei qiþa		
Lk.6.47	ƕazuh sa gaggands du mis jah hausjands waurda meina jah taujands þo ataugja izwis ƕamma galeiks ist		
Lk.6.48	galeiks ist mann timrjandin razn saei grob jah gadiupida jah gasatida grunduwaddjau ana staina at garunjon þan waurþanai bistagq aƕa bi jainamma razna jah ni mahta gawagjan ita gasulid auk was ana þamma staina		
Lk.6.49	iþ sa hausjands jah ni taujands galeiks ist mann timrjandin razn ana airþai inuh grunduwaddju þatei bistagq flodus jah suns gadraus jah warþ so uswalteins þis raznis mikila		
Lk.7.1	biþe þan usfullida alla þo waurda seina in hliumans manageins galaiþ in Kafarnaum		
Lk.7.2	hundafade þan sumis skalks siukands swultawairþja was saei was imma swers		
Lk.7.3	gahausjands þan bi Iesu insandida du imma sinistans Iudaie bidjands ina ei qimi jah ganasidedi þana skalk is		
Lk.7.4	iþ eis qimandans at Iesua bedun ina usdaudo qiþandans þatei wairþs ist þammei fragibis þata		
Lk.7.5	unte frijoþ þiuda unsara jah swnagogein is gatimrida unsis		
Lk.7.6	iþ Iesus iddjuh miþ im jah juþan ni fairra wisandin imma þamma garda insandida du imma sa hundafads frijonds qiþands du imma frauja ni draibei þuk unte ni im wairþs ei uf hrot mein inngaggais		
Lk.7.7	duþei ni mik silban wairþana rahnida at þus qiman ak qiþ waurda jah gahailnid sa þiumagus meins		
Lk.7.8	jah þan auk ik manna im uf waldufnja gasatids habands uf mis silbin gadrauhtins jah qiþa du þamma gagg jah gaggid jah anþaramma qim her jah qimid jah du skalka meinamma tawei þata jah taujid		
Lk.7.9	gahausjands þan þata Iesus sildaleikida ina jah wandjands sik du þizai afarlaistjandein sis managein qaþ amen qiþa izwis ni in Israela swalauda galaubein bigat		
Lk.7.10	jah gawandjandans sik þai insandidans du garda bigetun þana siukan skalk hailana		
Lk.7.11	jah warþ in þamma afardaga iddja in baurg namnida Naem jah mididdjedun imma siponjos is ganohai jah manageins filu		
Lk.7.12	biþeh þan neƕa was daura þizos baurgs þaruh sai utbaurans was naus sunus ainaha aiþein seinai jah si silbo widowo jah managei þizos baurgs ganoha miþ izai		
Lk.7.13	jah gasaiƕands þo frauja Iesus infeinoda du izai jah qaþ du izai ni gret		
Lk.7.14	jah duatgaggands attaitok ƕilftrjom iþ þai bairandans gastoþun jah qaþ juggalaud du þus qiþa urreis		
Lk.7.15	jah ussat sa naus jah dugann rodjan jah atgaf ina aiþein is		
Lk.7.16	dissat þan allans agis jah mikilidedun guþ qiþandans þatei praufetus mikils urrais in unsis jah þatei gaweisoda guþ manageins seinaizos		
Lk.7.17	jah usiddja þata waurd and alla Iudaia bi ina jah and allans bisitands		
Lk.7.18	jah gataihun Iohannen siponjos is bi alla þo		
Lk.7.19	jah athaitands twans siponje seinaize Iohannes insandida ins du Iesua qiþands þû is sa qimanda þau anþaranu wenjaima		
Lk.7.20	qimandans þan at imma þai wairos qeþun Iohannes sa daupjands insandida ugkis du þus qiþands þû is sa qimanda þau anþaranu wenjaima		
Lk.7.21	inuh þan þizai ƕeilai gahailida managans af sauhtim jah slahim jah ahmane ubilaize jah blindaim managaim fragaf siun		
Lk.7.22	jah andhafjands Iesus qaþ du im gaggandans gateihats Iohannen þatei gaseƕuts jah gahausideduts þatei blindai ussaiƕand haltai gaggand þrutsfillai gahrainjanda baudai gahausjand naweis urreisand unledai wailamerjanda		
Lk.7.23	jah audags ist saƕazuh saei ni gamarzjada in mis		
Lk.7.24	at galeiþandam þan þaim airum Iohannes dugann rodjan du manageim bi Iohannen ƕa usiddjeduþ in auþida saiƕan raus fram winda wagid		
Lk.7.25	akei ƕa usiddjeduþ saiƕan mannan in hnasqjaim wastjom gawasidana sai þai in wastjom wulþagaim jah fodeinai wisandans in þiudangardjom sind		
Lk.7.26	akei ƕa usiddjeduþ saiƕan praufetu jai qiþa izwis jah mais praufetu		
Lk.7.27	sa ist bi þanei gamelid ist sai ik insandja aggilu meinana faura andwairþja þeinamma saei gamanweid wig þeinana faura þus		
Lk.7.28	qiþa allis izwis maiza in baurim qinono praufetus Iohanne þamma daupjandin ainshun nist iþ sa minniza imma in þiudangardjai gudis maiza imma ist		
Lk.7.29	jah alla managei gahausjandei jah motarjos garaihtana domidedun guþ ufdaupidai daupeinai Iohannis		
Lk.7.30	iþ Fareisaieis jah witodafastjos runa gudis fraqeþun ana sik ni daupidai fram imma		
Lk.7.31	ƕe nu galeiko þans mans þis kunjis jah ƕe sijaina galeikai		
Lk.7.32	galeikai sind barnam þaim in garunsai sitandam jah wopjandam seina misso jah qiþandam swiglodedum izwis jah ni plinsideduþ gaunodedum izwis jan~ni gaigrotuþ		
Lk.7.33	urrann raihtis Iohannes sa daupjands nih hlaif matjands nih wein drigkands jah qiþiþ unhulþon habaiþ		
Lk.7.34	urrann sunus mans matjands jah drigkands jah qiþiþ sai manna afetja jah weindrugkja frijonds motarje jah frawaurhtaize		
Lk.7.35	jah gasunjoda warþ handugei fram barnam seinaim allaim		
Lk.7.36	baþ þan ina sums Fareisaie ei matidedi miþ imma jah atgaggands in gard þis Fareisaiaus anakumbida		
Lk.7.37	þaruh sai qino in þizai baurg sei was frawaurhta jah ufkunnandei þatei anakumbida in razna þis Fareisaiaus briggandei alabalstraun balsanis		
Lk.7.38	jah standandei faura fotum is aftaro greitandei dugann natjan fotuns is tagram jah skufta haubidis seinis biswarb jah kukida fotum is jah gasalboda þamma balsana		
Lk.7.39	gasaiƕands þan sa Fareisaius saei haihait ina rodida sis ains qiþands sa iþ wesi praufetus ufkunþedi þau ƕo jah ƕileika so qino sei tekiþ imma þatei frawaurhta ist		
Lk.7.40	jah andhafjands Iesus qaþ du Paitrau Seimon skal þus ƕa qiþan iþ is qaþ laisari qiþ		
Lk.7.41	twai dulgis skulans wesun dulgahaitjin sumamma ains skulda skatte fimf hunda iþ anþar fimf tiguns		
Lk.7.42	ni habandam þan im ƕaþro usgebeina baim fragaf ƕaþar nu þize qiþ mais ina frijod		
Lk.7.43	andhafjands þan Seimon qaþ þana gawenja þammei managizo fragaf þaruh is qaþ du imma raihtaba stauides		
Lk.7.44	jah gawandjands sik du þizai qinon qaþ du Seimona gasaiƕis þo qinon atgaggandin in gard þeinana wato mis ana fotuns meinans ni gaft iþ si tagram seinaim ganatida meinans fotuns jah skufta seinamma biswarb		
Lk.7.45	ni kukides mis iþ si fram þammei innatiddja ni swaif bikukjan fotuns meinans		
Lk.7.46	alewa haubid meinata ni salbodes iþ si balsana gasalboda fotuns meinans		
Lk.7.47	in þizei qiþa þus afletanda frawaurhteis izos þos managons unte frijoda filu iþ þammei leitil fraletada leitil frijod		
Lk.7.48	qaþuh þan du izai afletanda þus frawaurhteis þeinos		
Lk.7.49	jah dugunnun þai miþanakumbjandans qiþan in sis silbam ƕas sa ist saei jah frawaurhtins afletai		
