ref	text	parallel	translation
Mt.6.15	iþ jabai ni afletiþ mannam missadedins ize ni þau atta izwar afletiþ missadedins izwaros		
Mt.6.16	aþþan biþe fastaiþ ni wairþaiþ swaswe þai liutans gaurai frawardjand auk andwairþja seina ei gasaiƕaindau mannam fastandans amen qiþa izwis þatei andnemun mizdon seina		
Mt.6.17	iþ þu fastands salbo haubiþ þein jah ludja þeina þwah		
Mt.6.18	ei ni gasaiƕaizau mannam fastands ak attin þeinamma þamma in fulhsnja jah atta þeins saei saiƕiþ in fulhsnja usgibiþ þus		
Mt.6.19	ni huzdjaiþ izwis huzda ana airþai þarei malo jah nidwa frawardeiþ jah þarei þiubos ufgraband jah hlifand		
Mt.6.20	iþ huzdjaiþ izwis huzda in himina þarei nih malo nih nidwa frawardeiþ jah þarei þiubos ni ufgraband nih stiland		
Mt.6.21	þarei auk ist huzd izwar þaruh ist jah hairto izwar		
Mt.6.22	lukarn leikis ist augo jabai nu augo þein ainfalþ ist allata leik þein liuhadein wairþiþ		
Mt.6.23	iþ jabai augo þein unsel ist allata leik þein riqizein wairþiþ jabai nu liuhaþ þata in þus riqiz ist þata riqiz ƕan filu		
Mt.6.24	ni manna mag twaim fraujam skalkinon unte jabai fijaiþ ainana jah anþarana frijoþ aiþþau ainamma ufhauseiþ iþ anþaramma frakann ni maguþ guda skalkinon jah mammonin		
Mt.6.25	duþþe qiþa izwis ni maurnaiþ saiwalai izwarai ƕa matjaiþ jah ƕa drigkaiþ nih leika izwaramma ƕe wasjaiþ niu saiwala mais ist fodeinai jah leik wastjom		
Mt.6.26	insaiƕiþ du fuglam himinis þei ni saiand nih sneiþand nih lisand in banstins jah atta izwar sa ufar himinam fodeiþ ins niu jus mais wulþrizans sijuþ þaim		
Mt.6.27	iþ ƕas izwara maurnands mag anaaukan ana wahstu seinana aleina aina		
Mt.6.28	jah bi wastjos ƕa saurgaiþ gakunnaiþ blomans haiþjos ƕaiwa wahsjand nih arbaidjand nih spinnand		
Mt.6.29	qiþuh þan izwis þatei nih Saulaumon in allamma wulþau seinamma gawasida sik swe ains þize		
Mt.6.30	jah þande þata hawi haiþjos himma daga wisando jah gistradagis in auhn galagiþ guþ swa wasjiþ ƕaiwa mais izwis leitil galaubjandans		
