ref	surface	lemma	pos	features	stem_class	ms	position	variation
Mt.5.15	ak	ak	conj	{}		1	1	0
Mt.5.15	ana	ana	prep	{}		1	2	0
Mt.5.15	lukarnastaþin	lukarnastaþa	noun	{"case": "DAT", "number": "SG", "gender": "M"}	an-stem	1	3	0
Mt.5.15	jah	jah		{}		1	4	0
Mt.5.15	liuteiþ	liuhtjan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	weak-I	1	5	0
Mt.5.15	allaim	alls	adj	{"strength": "STR", "gender": "M", "case": "DAT", "number": "PL"}	a-stem	1	6	0
Mt.5.15	allaim	alls	adj	{"strength": "STR", "gender": "F", "case": "DAT", "number": "PL"}	a-stem	1	6	0
Mt.5.15	allaim	alls	adj	{"strength": "STR", "gender": "N", "case": "DAT", "number": "PL"}	a-stem	1	6	0
Mt.5.15	þaim	sa	pron	{"gender": "F", "case": "DAT", "number": "PL"}		1	7	0
Mt.5.15	þaim	sa	pron	{"gender": "M", "case": "DAT", "number": "PL"}		1	7	0
Mt.5.15	þaim	sa	pron	{"gender": "N", "case": "DAT", "number": "PL"}		1	7	0
Mt.5.15	in	in	prep	{}		1	8	0
Mt.5.15	þamma	sa	pron	{"gender": "M", "case": "DAT", "number": "SG"}		1	9	0
Mt.5.15	garda	gards	noun	{"case": "DAT", "number": "SG", "gender": "M"}	i-stem	1	10	0
Mt.5.16	swa	swa	adv	{}		1	1	0
Mt.5.16	liuhtjai	liuhtjan	verb	{"voice": "ACT", "mood": "OPT", "tense": "PRS", "number": "SG", "person": "3"}	weak-I	1	2	0
Mt.5.16	liuhaþ	liuhaþ	noun	{"case": "NOM", "number": "SG", "gender": "N"}	a-stem	1	3	0
Mt.5.16	izwar	izwar	pron	{"strength": "STR", "gender": "N", "case": "NOM", "number": "SG"}	a-stem	1	4	0
Mt.5.16	in	in	prep	{}		1	5	0
Mt.5.16	andwairþja	andwairþi	noun	{"case": "DAT", "number": "SG", "gender": "N"}	ja-stem	1	6	0
Mt.5.16	manne	manna	noun	{"case": "GEN", "number": "PL", "gender": "M"}		1	7	0
Mt.5.16	ei	ei	conj	{}		1	8	0
Mt.5.16	gasaiƕaina	ga-saiƕan	verb	{"voice": "ACT", "mood": "OPT", "tense": "PRS", "number": "PL", "person": "3"}	strong-V	1	9	0
Mt.5.16	izwara	izwar	pron	{"strength": "STR", "gender": "N", "case": "ACC", "number": "PL"}	a-stem	1	10	0
Mt.5.16	goda	goþs	adj	{"strength": "STR", "gender": "N", "case": "ACC", "number": "PL"}	a-stem	1	11	0
Mt.5.16	waurstwa	waurstw	noun	{"case": "ACC", "number": "PL", "gender": "N"}	a-stem	1	12	0
Mt.5.16	jah	jah		{}		1	13	0
Mt.5.16	hauhjaina	hauhjan	verb	{"voice": "ACT", "mood": "OPT", "tense": "PRS", "number": "PL", "person": "3"}	weak-I	1	14	0
Mt.5.16	attan	atta	noun	{"case": "ACC", "number": "SG", "gender": "M"}	an-stem	1	15	0
Mt.5.16	izwarana	izwar	pron	{"strength": "STR", "gender": "M", "case": "ACC", "number": "SG"}	a-stem	1	16	0
Mt.5.16	þana	sa	pron	{"gender": "M", "case": "ACC", "number": "SG"}		1	17	0
Mt.5.16	in	in	prep	{}		1	18	0
Mt.5.16	himinam	himins	noun	{"case": "DAT", "number": "PL", "gender": "M"}	a-stem	1	19	0
Mt.5.17	ni	ni		{}		1	1	0
Mt.5.17	hugjaiþ	hugjan	verb	{"voice": "ACT", "mood": "OPT", "tense": "PRS", "number": "PL", "person": "2"}	weak-I	1	2	0
Mt.5.17	ei	ei	conj	{}		1	3	0
Mt.5.17	qemjau	qiman	verb	{"voice": "ACT", "mood": "OPT", "tense": "PST", "number": "SG", "person": "1"}	strong-IV	1	4	0
Mt.5.17	gatairan	ga-tairan	verb	{"mood": "INF", "voice": "ACT"}	strong-IV	1	5	0
Mt.5.17	witoþ	witoþ	noun	{"case": "ACC", "number": "SG", "gender": "N"}	a-stem	1	6	0
Mt.5.17	aiþþau	aiþþau	conj	{}		1	7	0
Mt.5.17	praufetuns	praufetes	noun	{"case": "ACC", "number": "PL", "gender": "M"}		1	8	0
Mt.5.17	ni	ni		{}		1	9	0
Mt.5.17	qam	qiman	verb	{"voice": "ACT", "mood": "IND", "tense": "PST", "number": "SG", "person": "1"}	strong-IV	1	10	0
Mt.5.17	gatairan	ga-tairan	verb	{"mood": "INF", "voice": "ACT"}	strong-IV	1	11	0
Mt.5.17	ak	ak	conj	{}		1	12	0
Mt.5.17	usfulljan	us-fulljan	verb	{"mood": "INF", "voice": "ACT"}	weak-I	1	13	0
Mt.5.18	amen	amen	noun	{}		1	1	0
Mt.5.18	auk	auk	conj	{}		1	2	0
Mt.5.18	qiþa	qiþan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "1"}	strong-V	1	3	0
Mt.5.18	izwis	þu	pron	{"case": "DAT", "number": "PL"}		1	4	0
Mt.5.18	und	und	prep	{}		1	5	0
Mt.5.18	þatei	saei	pron	{"gender": "N", "case": "ACC", "number": "SG"}		1	6	0
Mt.5.18	usleiþiþ	us-leiþan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	strong-I	1	7	0
Mt.5.18	himins	himins	noun	{"case": "NOM", "number": "SG", "gender": "M"}	a-stem	1	8	0
Mt.5.18	jah	jah		{}		1	9	0
Mt.5.18	airþa	airþa	noun	{"case": "NOM", "number": "SG", "gender": "F"}	ō-stem	1	10	0
Mt.5.18	jota	jota	noun	{"case": "NOM", "number": "SG", "gender": "M"}	an-stem	1	11	0
Mt.5.18	ains	ains	adj	{"strength": "STR", "gender": "M", "case": "NOM", "number": "SG"}	a-stem	1	12	0
Mt.5.18	aiþþau	aiþþau	conj	{}		1	13	0
Mt.5.18	ains	ains	adj	{"strength": "STR", "gender": "M", "case": "NOM", "number": "SG"}	a-stem	1	14	0
Mt.5.18	striks	striks	noun	{"case": "NOM", "number": "SG", "gender": "M"}	i-stem	1	15	0
Mt.5.18	ni	ni		{}		1	16	0
Mt.5.18	usleiþiþ	us-leiþan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	strong-I	1	17	0
Mt.5.18	af	af	prep	{}		1	18	0
Mt.5.18	witoda	witoþ	noun	{"case": "DAT", "number": "SG", "gender": "N"}	a-stem	1	19	0
Mt.5.18	unte	unte	conj	{}		1	20	0
Mt.5.18	allata	alls	adj	{"strength": "STR", "gender": "N", "case": "NOM", "number": "SG"}	a-stem	1	21	0
Mt.5.18	wairþiþ	wairþan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	strong-III	1	22	0
Mt.5.19	iþ	iþ	conj	{}		1	1	0
Mt.5.19	saei	saei	pron	{"gender": "M", "case": "NOM", "number": "SG"}		1	2	0
Mt.5.19	nu	nu	conj	{}		1	3	0
Mt.5.19	gatairiþ	ga-tairan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	strong-IV	1	4	0
Mt.5.19	aina	ains	adj	{"strength": "STR", "gender": "F", "case": "ACC", "number": "SG"}	a-stem	1	5	0
Mt.5.19	anabusne	anabusns	noun	{"case": "GEN", "number": "PL", "gender": "F"}	i-stem	1	6	0
Mt.5.19	þizo	sa	pron	{"gender": "F", "case": "GEN", "number": "PL"}		1	7	0
Mt.5.19	minnistono	minnists	adj	{"strength": "WK", "gender": "F", "case": "GEN", "number": "PL"}		1	8	0
Mt.5.19	jah	jah		{}		1	9	0
Mt.5.19	laisjai	laisjan	verb	{"voice": "ACT", "mood": "OPT", "tense": "PRS", "number": "SG", "person": "3"}	weak-I	1	10	0
Mt.5.19	swa	swa	adv	{}		1	11	0
Mt.5.19	mans	manna	noun	{"case": "ACC", "number": "PL", "gender": "M"}		1	12	0
Mt.5.19	minnista	minnists	adj	{"strength": "WK", "gender": "M", "case": "NOM", "number": "SG"}		1	13	0
Mt.5.19	haitada	haitan	verb	{"voice": "PASS", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	strong-VII	1	14	0
Mt.5.19	in	in	prep	{}		1	15	0
Mt.5.19	þiudangardjai	þiudangardi	noun	{"case": "DAT", "number": "SG", "gender": "F"}	jō-stem	1	16	0
Mt.5.19	himine	himins	noun	{"case": "GEN", "number": "PL", "gender": "M"}	a-stem	1	17	0
Mt.5.19	iþ	iþ	conj	{}		1	18	0
Mt.5.19	saei	saei	pron	{"gender": "M", "case": "NOM", "number": "SG"}		1	19	0
Mt.5.19	taujiþ	taujan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	weak-I	1	20	0
Mt.5.19	jah	jah		{}		1	21	0
Mt.5.19	laisjai	laisjan	verb	{"voice": "ACT", "mood": "OPT", "tense": "PRS", "number": "SG", "person": "3"}	weak-I	1	22	0
Mt.5.19	swa	swa	adv	{}		1	23	0
Mt.5.19	sah	sah	pron	{"gender": "M", "case": "NOM", "number": "SG"}		1	24	0
Mt.5.19	mikils	mikils	adj	{"strength": "STR", "gender": "M", "case": "NOM", "number": "SG"}	a-stem	1	25	0
Mt.5.19	haitada	haitan	verb	{"voice": "PASS", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	strong-VII	1	26	0
Mt.5.19	in	in	prep	{}		1	27	0
Mt.5.19	þiudangardjai	þiudangardi	noun	{"case": "DAT", "number": "SG", "gender": "F"}	jō-stem	1	28	0
Mt.5.19	himine	himins	noun	{"case": "GEN", "number": "PL", "gender": "M"}	a-stem	1	29	0
Mt.5.20	qiþa	qiþan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "1"}	strong-V	1	1	0
Mt.5.20	auk	auk	conj	{}		1	2	0
Mt.5.20	izwis	þu	pron	{"case": "DAT", "number": "PL"}		1	3	0
Mt.5.20	þatei	þatei	conj	{}		1	4	0
Mt.5.20	nibai	nibai	conj	{}		1	5	0
Mt.5.20	managizo	manags	adj	{"strength": "WK", "gender": "N", "case": "NOM", "number": "SG"}	a-stem	1	6	0
Mt.5.20	wairþiþ	wairþan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	strong-III	1	7	0
Mt.5.20	izwaraizos	izwar	pron	{"strength": "STR", "gender": "F", "case": "GEN", "number": "SG"}	a-stem	1	8	0
Mt.5.20	garaihteins	garaihtei	noun	{"case": "GEN", "number": "SG", "gender": "F"}	ōn-stem	1	9	0
Mt.5.20	þau	þau	conj	{}		1	10	0
Mt.5.20	þize	sa	pron	{"gender": "M", "case": "GEN", "number": "PL"}		1	11	0
Mt.5.20	bokarje	bokareis	noun	{"case": "GEN", "number": "PL", "gender": "M"}	ja-stem	1	12	0
Mt.5.20	jah	jah		{}		1	13	0
Mt.5.20	Fareisaie	Fareisaius	name	{"case": "GEN", "number": "PL", "gender": "M"}		1	14	0
Mt.5.20	ni	ni		{}		1	15	0
Mt.5.20	þau	þau	conj	{}		1	16	0
Mt.5.20	qimiþ	qiman	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "PL", "person": "2"}	strong-IV	1	17	0
Mt.5.20	in	in	prep	{}		1	18	0
Mt.5.20	þiudangardjai	þiudangardi	noun	{"case": "DAT", "number": "SG", "gender": "F"}	jō-stem	1	19	0
Mt.5.20	himine	himins	noun	{"case": "GEN", "number": "PL", "gender": "M"}	a-stem	1	20	0
Mt.5.21	hausideduþ	hausjan	verb	{"voice": "ACT", "mood": "IND", "tense": "PST", "number": "PL", "person": "2"}	weak-I	1	1	0
Mt.5.21	þatei	þatei	conj	{}		1	2	0
Mt.5.21	qiþan	qiþan	verb	{"strength": "STR", "gender": "N", "case": "NOM", "number": "SG"}	strong-V	1	3	0
Mt.5.21	ist	wisan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	strong-V	1	4	0
Mt.5.21	þaim	sa	pron	{"gender": "M", "case": "DAT", "number": "PL"}		1	5	0
Mt.5.21	airizam	airizans	adj	{"strength": "WK", "gender": "M", "case": "DAT", "number": "PL"}		1	6	0
Mt.5.21	ni	ni		{}		1	7	0
Mt.5.21	maurþrjais	maurþrjan	verb	{"voice": "ACT", "mood": "OPT", "tense": "PRS", "number": "SG", "person": "2"}	weak-I	1	8	0
Mt.5.21	iþ	iþ	conj	{}		1	9	0
Mt.5.21	saei	saei	pron	{"gender": "M", "case": "NOM", "number": "SG"}		1	10	0
Mt.5.21	maurþreiþ	maurþrjan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	weak-I	1	11	0
Mt.5.21	skula	skula	noun	{"case": "NOM", "number": "SG", "gender": "M"}	an-stem	1	12	0
Mt.5.21	wairþiþ	wairþan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	strong-III	1	13	0
Mt.5.21	stauai	staua	noun	{"case": "DAT", "number": "SG", "gender": "F"}	ō-stem	1	14	0
Mt.5.22	aþþan	aþþan	conj	{}		1	1	0
Mt.5.22	ik	ik	pron	{"case": "NOM", "number": "SG"}		1	2	0
Mt.5.22	qiþa	qiþan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "1"}	strong-V	1	3	0
Mt.5.22	izwis	þu	pron	{"case": "DAT", "number": "PL"}		1	4	0
Mt.5.22	þatei	þatei	conj	{}		1	5	0
Mt.5.22	ƕazuh	ƕazuh	pron	{"gender": "M", "case": "NOM", "number": "SG"}		1	6	0
Mt.5.22	modags	modags	adj	{"strength": "STR", "gender": "M", "case": "NOM", "number": "SG"}	a-stem	1	7	0
Mt.5.22	broþr	broþar	noun	{"case": "DAT", "number": "SG", "gender": "M"}	r-stem	1	8	0
Mt.5.22	seinamma	seins	pron	{"strength": "STR", "gender": "M", "case": "DAT", "number": "SG"}	a-stem	1	9	0
Mt.5.22	sware	sware	adv	{}		1	10	0
Mt.5.22	skula	skula	noun	{"case": "NOM", "number": "SG", "gender": "M"}	an-stem	1	11	0
Mt.5.22	wairþiþ	wairþan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	strong-III	1	12	0
Mt.5.22	stauai	staua	noun	{"case": "DAT", "number": "SG", "gender": "F"}	ō-stem	1	13	0
Mt.5.22	iþ	iþ	conj	{}		1	14	0
Mt.5.22	saei	saei	pron	{"gender": "M", "case": "NOM", "number": "SG"}		1	15	0
Mt.5.22	qiþiþ	qiþan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	strong-V	1	16	0
Mt.5.22	broþr	broþar	noun	{"case": "DAT", "number": "SG", "gender": "M"}	r-stem	1	17	0
Mt.5.22	seinamma	seins	pron	{"strength": "STR", "gender": "M", "case": "DAT", "number": "SG"}	a-stem	1	18	0
Mt.5.22	raka	raka	noun	{}		1	19	0
Mt.5.22	skula	skula	noun	{"case": "NOM", "number": "SG", "gender": "M"}	an-stem	1	20	0
Mt.5.22	wairþiþ	wairþan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	strong-III	1	21	0
Mt.5.22	gaqumþai	gaqumþs	noun	{"case": "DAT", "number": "SG", "gender": "F"}	i-stem	1	22	0
Mt.5.22	aþþan	aþþan	conj	{}		1	23	0
Mt.5.22	saei	saei	pron	{"gender": "M", "case": "NOM", "number": "SG"}		1	24	0
Mt.5.22	qiþiþ	qiþan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	strong-V	1	25	0
Mt.5.22	dwala	dwals	adj	{"strength": "WK", "gender": "M", "case": "NOM", "number": "SG"}	a-stem	1	26	0
Mt.5.22	skula	skula	noun	{"case": "NOM", "number": "SG", "gender": "M"}	an-stem	1	27	0
Mt.5.22	wairþiþ	wairþan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	strong-III	1	28	0
Mt.5.22	in	in	prep	{}		1	29	0
Mt.5.22	gaiainnan	gaiainna	noun	{"case": "ACC", "number": "SG", "gender": "N"}		1	30	0
Mt.5.22	funins	fon	noun	{"case": "GEN", "number": "SG", "gender": "N"}		1	31	0
Mt.5.23	jabai	jabai	conj	{}		1	1	0
Mt.5.23	nu	nu	conj	{}		1	2	0
Mt.5.23	bairais	bairan	verb	{"voice": "ACT", "mood": "OPT", "tense": "PRS", "number": "SG", "person": "2"}	strong-IV	1	3	0
Mt.5.23	aibr	aibr	noun	{"case": "ACC", "number": "SG", "gender": "N"}		1	4	0
Mt.5.23	þein	þeins	pron	{"strength": "STR", "gender": "N", "case": "ACC", "number": "SG"}	a-stem	1	5	0
Mt.5.23	du	du	prep	{}		1	6	0
Mt.5.23	hunslastada	hunslastaþs	noun	{"case": "DAT", "number": "SG", "gender": "M"}	i-stem	1	7	0
Mt.5.23	jah	jah		{}		1	8	0
Mt.5.23	jainar	jainar	adv	{}		1	9	0
Mt.5.23	gamuneis	ga-munan	verb	{"voice": "ACT", "mood": "OPT", "tense": "PRS", "number": "SG", "person": "2"}	pret-pres	1	10	0
Mt.5.23	þatei	þatei	conj	{}		1	11	0
Mt.5.23	broþar	broþar	noun	{"case": "NOM", "number": "SG", "gender": "M"}	r-stem	1	12	0
Mt.5.23	þeins	þeins	pron	{"strength": "STR", "gender": "M", "case": "NOM", "number": "SG"}	a-stem	1	13	0
Mt.5.23	habaiþ	haban	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	weak-III	1	14	0
Mt.5.23	ƕa	ƕas	pron	{"gender": "N", "case": "ACC", "number": "SG"}		1	15	0
Mt.5.23	bi	bi	prep	{}		1	16	0
Mt.5.23	þuk	þu	pron	{"case": "ACC", "number": "SG"}		1	17	0
Mt.5.24	aflet	af-letan	verb	{"voice": "ACT", "mood": "IMP", "tense": "PRS", "number": "SG", "person": "2"}	strong-VII	1	1	0
Mt.5.24	jainar	jainar	adv	{}		1	2	0
Mt.5.24	þo	sa	pron	{"gender": "F", "case": "ACC", "number": "SG"}		1	3	0
Mt.5.24	giba	giba	noun	{"case": "ACC", "number": "SG", "gender": "F"}	ō-stem	1	4	0
Mt.5.24	þeina	þeins	pron	{"strength": "STR", "gender": "F", "case": "ACC", "number": "SG"}	a-stem	1	5	0
Mt.5.24	in	in	prep	{}		1	6	0
Mt.5.24	andwairþja	andwairþi	noun	{"case": "DAT", "number": "SG", "gender": "N"}	ja-stem	1	7	0
Mt.5.24	hunslastadis	hunslastaþs	noun	{"case": "GEN", "number": "SG", "gender": "M"}	i-stem	1	8	0
Mt.5.24	jah	jah		{}		1	9	0
Mt.5.24	gagg	gaggan	verb	{"voice": "ACT", "mood": "IMP", "tense": "PRS", "number": "SG", "person": "2"}	strong-VII	1	10	0
Mt.5.24	faurþis	faurþis	adv	{}		1	11	0
Mt.5.24	gasibjon	ga-sibjon	verb	{"mood": "INF", "voice": "ACT"}	weak-II	1	12	0
Mt.5.24	broþr	broþar	noun	{"case": "DAT", "number": "SG", "gender": "M"}	r-stem	1	13	0
Mt.5.24	þeinamma	þeins	pron	{"strength": "STR", "gender": "M", "case": "DAT", "number": "SG"}	a-stem	1	14	0
Mt.5.24	jah	jah		{}		1	15	0
Mt.5.24	biþe	biþe	adv	{}		1	16	0
Mt.5.24	atgaggands	at-gaggan	verb	{"strength": "STR", "gender": "M", "case": "NOM", "number": "SG"}	strong-VII	1	17	0
Mt.5.24	atbair	at-bairan	verb	{"voice": "ACT", "mood": "IMP", "tense": "PRS", "number": "SG", "person": "2"}	strong-IV	1	18	0
Mt.5.24	þo	sa	pron	{"gender": "F", "case": "ACC", "number": "SG"}		1	19	0
Mt.5.24	giba	giba	noun	{"case": "ACC", "number": "SG", "gender": "F"}	ō-stem	1	20	0
Mt.5.24	þeina	þeins	pron	{"strength": "STR", "gender": "F", "case": "ACC", "number": "SG"}	a-stem	1	21	0
Mt.5.25	sijais	wisan	verb	{"voice": "ACT", "mood": "OPT", "tense": "PRS", "number": "SG", "person": "2"}	strong-V	1	1	0
Mt.5.25	waila	waila	adv	{}		1	2	0
Mt.5.25	hugjands	hugjan	verb	{"strength": "STR", "gender": "M", "case": "NOM", "number": "SG"}	weak-I	1	3	0
Mt.5.25	andastauin	andastaua	noun	{"case": "DAT", "number": "SG", "gender": "M"}	an-stem	1	4	0
Mt.5.25	þeinamma	þeins	pron	{"strength": "STR", "gender": "M", "case": "DAT", "number": "SG"}	a-stem	1	5	0
Mt.5.25	sprauto	sprauto	adv	{}		1	6	0
Mt.5.25	und	und	prep	{}		1	7	0
Mt.5.25	þatei	saei	pron	{"gender": "N", "case": "ACC", "number": "SG"}		1	8	0
Mt.5.25	is	wisan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "2"}	strong-V	1	9	0
Mt.5.25	in	in	prep	{}		1	10	0
Mt.5.25	wiga	wigs	noun	{"case": "DAT", "number": "SG", "gender": "M"}	a-stem	1	11	0
Mt.5.25	miþ	miþ	prep	{}		1	12	0
Mt.5.25	imma	is	pron	{"gender": "M", "case": "DAT", "number": "SG"}		1	13	0
Mt.5.25	ibai	ibai	conj	{}		1	14	0
Mt.5.25	ƕan	ƕan	adv	{}		1	15	0
Mt.5.25	atgibai	at-giban	verb	{"voice": "ACT", "mood": "OPT", "tense": "PRS", "number": "SG", "person": "3"}	strong-V	1	16	0
Mt.5.25	þuk	þu	pron	{"case": "ACC", "number": "SG"}		1	17	0
Mt.5.25	sa	sa	pron	{"gender": "M", "case": "NOM", "number": "SG"}		1	18	0
Mt.5.25	andastaua	andastaua	noun	{"case": "NOM", "number": "SG", "gender": "M"}	an-stem	1	19	0
Mt.5.25	stauin	staua	noun	{"case": "DAT", "number": "SG", "gender": "M"}	an-stem	1	20	0
Mt.5.25	jah	jah		{}		1	21	0
Mt.5.25	sa	sa	pron	{"gender": "M", "case": "NOM", "number": "SG"}		1	22	0
Mt.5.25	staua	staua	noun	{"case": "NOM", "number": "SG", "gender": "M"}	an-stem	1	23	0
Mt.5.25	þuk	þu	pron	{"case": "ACC", "number": "SG"}		1	24	0
Mt.5.25	atgibai	at-giban	verb	{"voice": "ACT", "mood": "OPT", "tense": "PRS", "number": "SG", "person": "3"}	strong-V	1	25	0
Mt.5.25	andbahta	andbahts	noun	{"case": "DAT", "number": "SG", "gender": "M"}	a-stem	1	26	0
Mt.5.25	jah	jah		{}		1	27	0
Mt.5.25	in	in	prep	{}		1	28	0
Mt.5.25	karkara	karkara	noun	{"case": "ACC", "number": "SG", "gender": "F"}	ō-stem	1	29	0
Mt.5.25	galagjaza	ga-lagjan	verb	{"voice": "PASS", "mood": "IND", "tense": "PRS", "number": "SG", "person": "2"}	weak-I	1	30	0
Mt.5.26	amen	amen	noun	{}		1	1	0
Mt.5.26	qiþa	qiþan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "1"}	strong-V	1	2	0
Mt.5.26	þus	þu	pron	{"case": "DAT", "number": "SG"}		1	3	0
Mt.5.26	ni	ni		{}		1	4	0
Mt.5.26	usgaggis	us-gaggan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "2"}	strong-VII	1	5	0
Mt.5.26	jainþro	jainþro	adv	{}		1	6	0
Mt.5.26	unte	unte	conj	{}		1	7	0
Mt.5.26	usgibis	us-giban	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "2"}	strong-V	1	8	0
Mt.5.26	þana	sa	pron	{"gender": "M", "case": "ACC", "number": "SG"}		1	9	0
Mt.5.26	minnistan	minnists	adj	{"strength": "WK", "gender": "M", "case": "ACC", "number": "SG"}		1	10	0
Mt.5.26	kintu	kintus	noun	{"case": "ACC", "number": "SG", "gender": "M"}	u-stem	1	11	0
Mt.5.27	hausideduþ	hausjan	verb	{"voice": "ACT", "mood": "IND", "tense": "PST", "number": "PL", "person": "2"}	weak-I	1	1	0
Mt.5.27	þatei	þatei	conj	{}		1	2	0
Mt.5.27	qiþan	qiþan	verb	{"strength": "STR", "gender": "N", "case": "NOM", "number": "SG"}	strong-V	1	3	0
Mt.5.27	ist	wisan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	strong-V	1	4	0
Mt.5.27	ni	ni		{}		1	5	0
Mt.5.27	horinos	horinon	verb	{"voice": "ACT", "mood": "OPT", "tense": "PRS", "number": "SG", "person": "2"}	weak-II	1	6	0
Mt.5.27	horinos	horinon	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "2"}	weak-II	1	6	0
Mt.5.28	aþþan	aþþan	conj	{}		1	1	0
Mt.5.28	ik	ik	pron	{"case": "NOM", "number": "SG"}		1	2	0
Mt.5.28	qiþa	qiþan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "1"}	strong-V	1	3	0
Mt.5.28	izwis	þu	pron	{"case": "DAT", "number": "PL"}		1	4	0
Mt.5.28	þatei	þatei	conj	{}		1	5	0
Mt.5.28	ƕazuh	ƕazuh	pron	{"gender": "M", "case": "NOM", "number": "SG"}		1	6	0
Mt.5.28	saei	saei	pron	{"gender": "M", "case": "NOM", "number": "SG"}		1	7	0
Mt.5.28	saiƕiþ	saiƕan	verb	{"voice": "ACT", "mood": "IND", "tense": "PRS", "number": "SG", "person": "3"}	strong-V	1	8	0
Mt.5.28	qinon	qino	noun	{"case": "ACC", "number": "SG", "gender": "F"}	ōn-stem	1	9	0
Mt.5.28	du	du		{}		1	10	0
Mt.5.28	luston	luston	verb	{"mood": "INF", "voice": "ACT"}	weak-II	1	11	0
Mt.5.28	izos	is	pron	{"gender": "F", "case": "GEN", "number": "SG"}		1	12	0
Mt.5.28	ju	ju	adv	{}		1	13	0
Mt.5.28	gahorinoda	ga-horinon	verb	{"voice": "ACT", "mood": "IND", "tense": "PST", "number": "SG", "person": "3"}	weak-II	1	14	0
Mt.5.28	izai	is	pron	{"gender": "F", "case": "DAT", "number": "SG"}		1	15	0
Mt.5.28	in	in	prep	{}		1	16	0
Mt.5.28	hairtin	hairto	noun	{"case": "DAT", "number": "SG", "gender": "N"}	n-stem	1	17	0
Mt.5.28	seinamma	seins	pron	{"strength": "STR", "gender": "N", "case": "DAT", "number": "SG"}	a-stem	1	18	0
Mt.5.29	iþ	iþ	conj	{}		1	1	0
Mt.5.29	jabai	jabai	conj	{}		1	2	0
Mt.5.29	augo	augo	noun	{"case": "NOM", "number": "SG", "gender": "N"}	n-stem	1	3	0
Mt.5.29	þein	þeins	pron	{"strength": "STR", "gender": "N", "case": "NOM", "number": "SG"}	a-stem	1	4	0
Mt.5.29	þata	sa	pron	{"gender": "N", "case": "NOM", "number": "SG"}		1	5	0
Mt.5.29	taihswo	taihswa	adj	{"strength": "WK", "gender": "N", "case": "NOM", "number": "SG"}	a-stem	1	6	0
Mt.5.29	marzjai	marzjan	verb	{"voice": "ACT", "mood": "OPT", "tense": "PRS", "number": "SG", "person": "3"}	weak-I	1	7	0
Mt.5.29	þuk	þu	pron	{"case": "ACC", "number": "SG"}		1	8	0
Mt.5.29	usstagg	us-stagg	verb	{"voice": "ACT", "mood": "IMP", "tense": "PRS", "number": "SG", "person": "2"}		1	9	0
Mt.5.29	ita	is	pron	{"gender": "N", "case": "ACC", "number": "SG"}		1	10	0
Mt.5.29	jah	jah		{}		1	11	0
Mt.5.29	wairp	wairpan	verb	{"voice": "ACT", "mood": "IMP", "tense": "PRS", "number": "SG", "person": "2"}	strong-III	1	12	0
Mt.5.29	af	af	prep	{}		1	13	0
Mt.5.29	þus	þu	pron	{"case": "DAT", "number": "SG"}		1	14	0
